FILM         	HA	LA	CO	BA	FR	GM	BM
Alone in the Dark	0,0151	0,0445	0,0275	0,0178	0,0304	0,0840	0,0437	
Behind Enemy Lines	0,0276	0,0270	0,0313	0,0236	0,0315	0,0571	0,0670	
The Apartment	0,0223	0,0230	0,0547	0,0120	0,0426	0,0317	0,0177	
The Village  	0,0613	0,0324	0,0804	0,0299	0,0418	0,0466	0,0526	
Peter Pan    	0,0237	0,0212	0,0694	0,0890	0,0369	0,0605	0,0303	
The In-Laws  	0,0149	0,0771	0,0389	0,0420	0,0405	0,1620	0,0170	
The Libertine	0,0269	0,0259	0,0378	0,0228	0,0372	0,0296	0,0299	
Babel        	0,0463	0,0343	0,0495	0,0253	0,0483	0,0395	0,0335	
300          	0,0284	0,0366	0,0437	0,0301	0,0423	0,0578	0,0623	
Blood Diamond	0,0361	0,0267	0,0509	0,0266	0,0401	0,0324	0,0493	
Alpha Dog    	0,0296	0,0163	0,0275	0,0207	0,0367	0,0322	0,0303	
We Are Marshall	0,0210	0,0170	0,0574	0,0414	0,0324	0,0309	0,0336	
Apocalypto   	0,0389	0,0415	0,0445	0,0301	0,0382	0,0432	0,0473	
Stranger than Fiction	0,0384	0,0449	0,0551	0,0296	0,0618	0,0882	0,0320	
Saw          	0,0647	0,0327	0,0324	0,0212	0,0423	0,0430	0,0534	
Match Point  	0,0387	0,0221	0,0474	0,0237	0,0385	0,0359	0,0269	
The Machinist	0,0406	0,0274	0,0287	0,0177	0,0374	0,0319	0,0410	
The Last Samurai	0,0320	0,0280	0,0563	0,0259	0,0404	0,0415	0,0536	
Once Upon a Time in Mexico	0,0301	0,0260	0,0296	0,0206	0,0332	0,0818	0,0296	
8 Mile       	0,0250	0,0332	0,0472	0,0249	0,0739	0,0548	0,0363	
Enemy at the Gates	0,0319	0,0202	0,0641	0,0207	0,0375	0,0295	0,1535	
Kingdom of Heaven	0,0294	0,0327	0,0458	0,0259	0,0378	0,0397	0,0411	
Hitch        	0,0203	0,0741	0,0835	0,0382	0,0640	0,1286	0,0255	
Harry Potter and the Chamber of Secrets	0,0310	0,0347	0,0437	0,0693	0,0550	0,0862	0,0336	
The Pledge   	0,0294	0,0241	0,0351	0,0169	0,0330	0,0267	0,0305	
American Psycho	0,0267	0,0552	0,0358	0,0258	0,0455	0,0869	0,0435	
Unbreakable  	0,0408	0,0307	0,0406	0,0308	0,0453	0,0422	0,0399	
Any Given Sunday	0,0289	0,0369	0,0369	0,0203	0,0385	0,0496	0,0298	
Sleepy Hollow	0,0267	0,0421	0,0476	0,0356	0,0398	0,0703	0,0628	
Vanilla Sky  	0,0658	0,0274	0,0685	0,0303	0,0761	0,0457	0,0329	
Miss Congeniality	0,0191	0,1057	0,0536	0,0602	0,0641	0,2175	0,0258	
